City,PM2.5,PM10,NO,NOx,NH3,CO,SO2,Benzene,AQI
Ahmedabad,8.71,14.17,9.05,22.68,20.04,9.05,7.47,0,56
Ahmedabad,10.46,22.96,11.26,25.44,13.4,11.26,9.6,0,
Ahmedabad,11.3,27.28,16.31,37.81,9.62,16.31,13.73,0.02,112
Ahmedabad,7,7.8,10.33,40.93,17.12,10.33,10.96,0,75
Ahmedabad,11.44,32.62,8.85,41.26,12.88,8.85,15.63,0,
Ahmedabad,15.76,40.74,17.96,52.67,16.38,17.96,15.44,0,89
Ahmedabad,18.79,60.26,33.31,71.17,18.52,33.31,27.32,19.81,76
Ahmedabad,15.05,43.47,11.14,39.52,19.91,11.14,25.59,8.14,78
Ahmedabad,10.1,23.92,7.83,29.34,19.26,7.83,6.98,5.59,66
Ahmedabad,14.43,43.47,20.16,50.39,17.73,20.16,32.74,8.58,61
Ahmedabad,22.65,57.46,15.83,47.93,19.88,15.83,19.37,8.34,83
Ahmedabad,28.45,81.89,18.21,50.71,20.7,18.21,31.75,6.26,87
Ahmedabad,24.94,69.22,27.14,64.11,20.42,27.14,24.88,10.85,97
Ahmedabad,26.24,62.75,15.9,50.77,24.55,15.9,26.35,9.13,98
Ahmedabad,30.6,76.16,5.42,34.64,22.37,5.42,79.47,6.23,99
Ahmedabad,21.81,78.68,5.19,28.63,21.76,5.19,25.44,0.69,94
Ahmedabad,24.22,86.08,10.38,44.01,21.11,10.38,30.06,3.24,98
Ahmedabad,19.82,71.36,20.2,53.18,20.62,20.2,21.89,12.76,102
Ahmedabad,25.11,81.43,18.12,43.85,16.71,18.12,17.89,7.32,96
Ahmedabad,31.3,101.05,17.03,49.9,18.06,17.03,22.59,12.47,90
Ahmedabad,27.1,89.38,17.72,48.92,23.69,17.72,26.09,8.22,106
Ahmedabad,,,20.61,55.33,,20.61,24.66,20.08,82
Ahmedabad,26.73,71.95,52.33,91.75,23.97,52.33,39.15,31.75,
Ahmedabad,33.28,75.5,15.49,48.6,23.03,15.49,34.03,10.76,88
Ahmedabad,40.66,82.62,23.03,59.66,21.37,23.03,94.3,0,103
Ahmedabad,40.56,66.97,12.92,43.57,22.66,12.92,42.08,13.33,76
Ahmedabad,37.93,67.4,4.79,28.61,19.44,4.79,34.4,6.24,68
Ahmedabad,31.64,69.39,10.58,39.51,24.14,10.58,44.91,4.72,75
Ahmedabad,,,32.27,66.43,,32.27,27.73,7.62,
Ahmedabad,27.69,49.21,34.64,73.74,19.1,34.64,46.09,5.8,
Ahmedabad,22.12,34.83,145.32,201,18.14,145.32,20.47,1.69,89
Ahmedabad,29.25,52.84,38.09,78.39,17.82,38.09,22.94,26,79
Ahmedabad,38.32,80.97,5.42,31.18,18.04,5.42,44.92,6.48,65
Ahmedabad,35.02,71.42,1.89,23.04,19.86,1.89,37.31,3.96,80
Ahmedabad,24.29,50.33,2.31,20.64,18.22,2.31,19.08,3.47,81
Ahmedabad,19.69,50.18,1.22,13.32,16.71,1.22,13.73,1.9,52
Ahmedabad,18.81,50.51,,,15.48,,,,89
Ahmedabad,26.13,60.44,75.42,119.62,19.43,75.42,13.78,73.38,59
Ahmedabad,24.08,45.81,33.06,69.93,18.56,33.06,21.24,25.83,62
Ahmedabad,21.81,37.31,57.37,99.57,19.6,57.37,22.18,41.22,52
Ahmedabad,11.15,34.75,28.41,60.37,22.26,28.41,50.33,28.86,
Ahmedabad,14.58,41.04,39.61,89.72,15.78,39.61,40.78,17.39,61
Ahmedabad,,42.61,9.39,38.43,16.9,9.39,29.18,22.88,57
Ahmedabad,8.98,37.07,6.74,38.64,18.93,6.74,26.94,9.55,49
